岩瀬 佑美子：1990年6月12日／ふたご座／153cm／埼玉県／A型
高本 彩花：1998年11月2日／さそり座／162.5cm／神奈川県／B型
佐々木 美玲：1999年12月17日／いて座／165.7cm／兵庫県／O型
影山 優佳：2001年5月8日／おうし座／155.5cm／東京都／O型
柿崎 芽実：2001年12月2日／いて座／156cm／長野県／A型
宮田 愛萌：1998年4月28日／おうし座／159.3cm／東京都／A型
松田 好花：1999年4月27日／おうし座／157.5cm／京都府／A型
渡邉 美穂：2000年2月24日／うお座／158.2cm／埼玉県／A型
富田 鈴花：2001年1月18日／やぎ座／165.2cm／神奈川県／A型
丹生 明里：2001年2月15日／みずがめ座／157cm／埼玉県／AB型
河田 陽菜：2001年7月23日／しし座／154.5cm／山口県／B型
小坂 菜緒：2002年9月7日／おとめ座／161.5cm／大阪府／O型
金村 美玖：2002年9月10日／おとめ座／163cm／埼玉県／O型
濱岸 ひより：2002年9月28日／てんびん座／167.2cm／福岡県／A型
髙橋 未来虹：2003年9月27日／てんびん座／170.6cm／東京都／B型
森本 茉莉：2004年2月23日／うお座／162.4cm／東京都／A型
山口 陽世：2004年2月23日／うお座／152.5cm／鳥取県／O型
上村 ひなの：2004年4月12日／おひつじ座／163cm／東京都／AB型
平岡 海月：2002年4月9日／おひつじ座／157.9cm／福井県／A型
山下 葉留花：2003年5月20日／おうし座／161cm／愛知県／O型
平尾 帆夏：2003年7月31日／しし座／158.5cm／鳥取県／A型
石塚 瑶季：2004年8月6日／しし座／153.5cm／東京都／A型
岸 帆夏：2004年8月15日／しし座／157cm／東京都／O型
小西 夏菜実：2004年10月3日／てんびん座／164.8cm／兵庫県／B型
清水 理央：2005年1月15日／やぎ座／165cm／千葉県／AB型
宮地 すみれ：2005年12月31日／やぎ座／165cm／神奈川県／不明
竹内 希来里：2006年2月20日／うお座／154.5cm／広島県／AB型
藤嶌 果歩：2006年8月7日／しし座／160.4cm／北海道／不明
正源司 陽子：2007年2月14日／みずがめ座／158.4cm／兵庫県／B型
渡辺 莉奈：2009年2月7日／みずがめ座／154cm／福岡県／A型
鶴崎 仁香：2004年3月27日／おひつじ座／166cm／神奈川県／B型
松尾 桜：2005年6月8日／ふたご座／159.2cm／神奈川県／A型
蔵盛 妃那乃：2006年1月23日／みずがめ座／153cm／大阪府／B型
佐藤 優羽：2006年9月10日／おとめ座／159.4cm／福岡県／AB型
大田 美月：2006年12月7日／いて座／163cm／大阪府／A型
下田 衣珠季：2006年12月26日／やぎ座／154cm／千葉県／A型
片山 紗希：2006年12月26日／やぎ座／159cm／埼玉県／A型
大野 愛実：2007年5月5日／おうし座／153cm／東京都／B型
高井 俐香：2007年8月1日／しし座／164cm／兵庫県／O型
坂井 新奈：2009年3月14日／うお座／160cm／神奈川県／A型
